Carimbo de data/hora,Você concluiu o TP?,"Em geral, qual foi o seu sentimento sobre o Trabalho Prático?","De forma mais específica, selecione as opções com as quais você se identifica [Eu tive dificuldades técnicas para usar/instalar a biblioteca]","De forma mais específica, selecione as opções com as quais você se identifica [Eu estive animado(a) durante a maior parte do desenvolvimento do jogo]","De forma mais específica, selecione as opções com as quais você se identifica [O Brenno conseguiu me ajudar com minhas dúvidas]","De forma mais específica, selecione as opções com as quais você se identifica [O professor conseguiu me ajudar com minhas dúvidas]","De forma mais específica, selecione as opções com as quais você se identifica [Os monitores conseguiram me ajudar com minhas dúvidas]","Na sua opinião, você diria que o TP ficou mais complexo por se tratar do desenvolvimento de um jogo?","Sobre os seus colegas de turma, você diria que eles tiveram muitas dificuldades com o desenvolvimento do jogo?","Se você pudesse voltar no tempo e pudesse alterar o TP, você alteraria?

Imagine que este outro ainda envolveria alocações, structs e manipulação de arquivo, porém não seria um jogo. Por exemplo, poderia ser uma interface de caixa de supermercado no terminal.",Deixe aqui qualquer crítica ou elogio que tenha a fazer sobre o TP e esta pesquisa.,"Se você marcou que não mudaria o trabalho, gostaria de deixar alguma dica ou sugestão para futuras aplicações dele em turmas de AEDS 1?",Imagine que todos os problemas de instalação da biblioteca foram resolvidos. Você acha que isso mudaria o seu sentimento sobre o trabalho prático?,Qual Sistema Operacional você utilizou durante a maioria do desenvolvimento do trabalho?,"Falando sobre a biblioteca, agora que o TP foi entregue, você ainda pretende usar a biblioteca para fazer jogos? (Múltipla escolha)","Quando você ficou sabendo que o Trabalho Prático envolveria o desenvolvimento de um jogo, como você se sentiu?",Você participou da aula de laboratório de introdução à biblioteca JOGO.H lecionada pelo Brenno?
14/12/2022 11:26:23,"Sim, e estou satisfeito com o resultado","Positivo, o desenvolvimento de um jogo me deixou mais animado(a) e me fez aprender mais",Concordo,Concordo,Neutro/Não se aplica,Neutro/Não se aplica,Neutro/Não se aplica,"Sim, porém eu acho que a complexidade é um ponto positivo","Sim, acho que a maioria teve muitas dificuldades no desenvolvimento","Não, apesar de ter tido dificuldades, elas ainda estariam presentes em outro trabalho",,,"Sim, acho que a grande maioria dos problemas que eu e meus colegas encontraram foram relacionados à instalação",Windows,Acho que vou usar a biblioteca para fazer projetos pessoais,,
14/12/2022 13:23:28,"Sim, e estou satisfeito com o resultado","Positivo, o desenvolvimento de um jogo me deixou mais animado(a) e me fez aprender mais",Concordo,Concordo,Concordo,Concordo,Não concordo,"Sim, porém eu acho que a complexidade é um ponto positivo","Sim, acho que a maioria teve muitas dificuldades no desenvolvimento","Não, acho que o desenvolvimento de um jogo me fez aprender mais e me trouxe uma experiência positiva",,Ajuda na instalação e uma aula introdutória com exemplos para guiar,"Sim, acho que a grande maioria dos problemas que eu e meus colegas encontraram foram relacionados à instalação",Windows,Acho que vou usar a biblioteca para desenvolver trabalhos em outras disciplinas,,
14/12/2022 13:25:39,"Sim, e estou satisfeito com o resultado","Negativo, os problemas técnicos e/ou a complexidade do trabalho me deixou mais frustrado(a) do que animado(a)",Concordo,Concordo,Neutro/Não se aplica,Concordo,Neutro/Não se aplica,"Sim, e por isso eu me frustrei durante o desenvolvimento","Sim, acho que a maioria teve muitas dificuldades no desenvolvimento","Sim, porque a complexidade do jogo piorou o trabalho",,,"Sim, acho que a grande maioria dos problemas que eu e meus colegas encontraram foram relacionados à instalação",Linux,Não pretendo mais usar a biblioteca,,
14/12/2022 17:46:37,"Não, porque problemas técnicos me desmotivaram a desenvolver o jogo","Negativo, os problemas técnicos e/ou a complexidade do trabalho me deixou mais frustrado(a) do que animado(a)",Não concordo,Neutro/Não se aplica,Neutro/Não se aplica,Neutro/Não se aplica,Neutro/Não se aplica,"Não, acredito que a complexidade veio de programar em geral e não está diretamente relacionada com o desenvolvimento de um jogo","Sim, acho que a maioria teve muitas dificuldades no desenvolvimento","Não, apesar de ter tido dificuldades, elas ainda estariam presentes em outro trabalho",,,"Não, acho que os problemas vão além de instalar a biblioteca",Windows,Acho que vou usar a biblioteca para desenvolver trabalhos em outras disciplinas,,
14/12/2022 20:12:29,"Sim, e estou satisfeito com o resultado","Positivo, o desenvolvimento de um jogo me deixou mais animado(a) e me fez aprender mais",Neutro/Não se aplica,Neutro/Não se aplica,Neutro/Não se aplica,Neutro/Não se aplica,Neutro/Não se aplica,"Sim, porém eu acho que a complexidade é um ponto positivo","Sim, acho que a maioria teve muitas dificuldades no desenvolvimento","Não, acho que o desenvolvimento de um jogo me fez aprender mais e me trouxe uma experiência positiva",,,"Não, acho que os problemas vão além de instalar a biblioteca",Linux,Acho que vou usar a biblioteca para desenvolver trabalhos em outras disciplinas,,
14/12/2022 20:14:12,"Sim, e estou satisfeito com o resultado","Positivo, o desenvolvimento de um jogo me deixou mais animado(a) e me fez aprender mais",Neutro/Não se aplica,Concordo,Neutro/Não se aplica,Neutro/Não se aplica,Neutro/Não se aplica,"Sim, porém eu acho que a complexidade é um ponto positivo","Sim, acho que a maioria teve muitas dificuldades no desenvolvimento","Não, apesar de ter tido dificuldades, elas ainda estariam presentes em outro trabalho",,,"Sim, acho que a grande maioria dos problemas que eu e meus colegas encontraram foram relacionados à instalação",Linux,Acho que vou usar a biblioteca para fazer projetos pessoais,,
14/12/2022 20:16:58,"Sim, e estou satisfeito com o resultado","Positivo, o desenvolvimento de um jogo me deixou mais animado(a) e me fez aprender mais",Concordo,Neutro/Não se aplica,Concordo,Concordo,Neutro/Não se aplica,"Sim, porém eu acho que a complexidade é um ponto positivo","Sim, acho que a maioria teve muitas dificuldades no desenvolvimento","Não, acho que o desenvolvimento de um jogo me fez aprender mais e me trouxe uma experiência positiva","Apesar de ter passado raiva com alguns bugs durante o processo de desenvolvimento, eu achei muito legal, pois trabalhar com interface gráfica o resultado e muito mais gratificante.","Minha única sugestão é um tempo maior, e um pouco mais de exemplos na documentação, por exemplo quando o professor ensinou a fazer a cobrinha, o resto ficou mais fácil ","Sim, acho que a grande maioria dos problemas que eu e meus colegas encontraram foram relacionados à instalação",Linux,Acho que vou usar a biblioteca para fazer projetos pessoais,,
14/12/2022 20:17:04,As duas últimas opções ,"Negativo, os problemas técnicos e/ou a complexidade do trabalho me deixou mais frustrado(a) do que animado(a)",Neutro/Não se aplica,Não concordo,Concordo,Neutro/Não se aplica,Concordo,"Sim, e por isso eu me frustrei durante o desenvolvimento","Sim, acho que alguns tiveram muitas dificuldades, mas não a maioria","Não, apesar de ter tido dificuldades, elas ainda estariam presentes em outro trabalho","A proposta do trabalho foi muito legal, mas pela complexidade acabou me desestimulando de fazer
",,"Não, acho que os problemas vão além de instalar a biblioteca",Windows,Acho que vou usar a biblioteca para desenvolver trabalhos em outras disciplinas,,
14/12/2022 20:18:43,"Não, porque não consegui implementar tudo que foi pedido","Positivo, o desenvolvimento de um jogo me deixou mais animado(a) e me fez aprender mais",Concordo,Concordo,Concordo,Neutro/Não se aplica,Neutro/Não se aplica,"Sim, porém eu acho que a complexidade é um ponto positivo","Sim, acho que alguns tiveram muitas dificuldades, mas não a maioria","Não, apesar de ter tido dificuldades, elas ainda estariam presentes em outro trabalho","Quero elogiar tanto o Brenno quanto Elverton. Ambos foram atenciosos e auxiliaram sempre que possível, além da dedicação na realização e construção de todo o TP. Por mais que tive alguns problemas (provavelmente ocasionados por mim mesmo), o trabalho foi extremamente util. Eu consegui aprender bastante com a execução de um projeto real que inclusive auxiliou como uma forma de estudo para a prova. Muito obrigado!","Montar uma instrução detalhada do uso de cada função em um documento de fácil acesso, como PDF ou docs. Tive que acessar os módulos para tentar entender o funcionamento de certas aplicações.","Não, acho que os problemas vão além de instalar a biblioteca",Windows,"Acho que vou usar a biblioteca para fazer projetos pessoais, Acho que vou usar a biblioteca para desenvolver trabalhos em outras disciplinas",,
14/12/2022 20:33:41,"Não, porque problemas técnicos me desmotivaram a desenvolver o jogo","Negativo, os problemas técnicos e/ou a complexidade do trabalho me deixou mais frustrado(a) do que animado(a)",Concordo,Não concordo,Neutro/Não se aplica,Neutro/Não se aplica,Não concordo,"Sim, e por isso eu me frustrei durante o desenvolvimento","Sim, acho que a maioria teve muitas dificuldades no desenvolvimento","Sim, porque eu gostaria de obter uma nota maior",,,"Não, acho que os problemas vão além de instalar a biblioteca",Windows,Não pretendo mais usar a biblioteca,,
15/12/2022 08:45:37,"Não, porque não consegui implementar tudo que foi pedido","Positivo, o desenvolvimento de um jogo me deixou mais animado(a) e me fez aprender mais",Neutro/Não se aplica,Concordo,Concordo,Neutro/Não se aplica,Não concordo,"Sim, e por isso eu me frustrei durante o desenvolvimento","Sim, acho que alguns tiveram muitas dificuldades, mas não a maioria","Sim, porque a complexidade do jogo piorou o trabalho",,,"Sim, acho que a grande maioria dos problemas que eu e meus colegas encontraram foram relacionados à instalação",Windows,Acho que vou usar a biblioteca para fazer projetos pessoais,,
15/12/2022 11:26:17,"Sim, e estou satisfeito com o resultado","Positivo, o desenvolvimento de um jogo me deixou mais animado(a) e me fez aprender mais",Concordo,Neutro/Não se aplica,Concordo,Neutro/Não se aplica,Não concordo,"Sim, e por isso eu me frustrei durante o desenvolvimento","Sim, acho que alguns tiveram muitas dificuldades, mas não a maioria","Não, acho que o desenvolvimento de um jogo me fez aprender mais e me trouxe uma experiência positiva","Muito bom a biblioteca muito bem feita ,ei tive algumas dificuldades q tive que sanar aprendendo algumas coisas por mim mesmo ,porém aprendi bastante e tô muito feliz com resultado pois mão esperava por em prática algo q sempre quis fazer tão rápido ",,Não tive problemas de instalação,Windows,Acho que vou usar a biblioteca para fazer projetos pessoais,Animado(a),Sim
15/12/2022 11:42:45,"Sim, e estou satisfeito com o resultado","Positivo, o desenvolvimento de um jogo me deixou mais animado(a) e me fez aprender mais",Concordo,Concordo,Concordo,Concordo,Concordo,"Sim, porém eu acho que a complexidade é um ponto positivo","Sim, acho que alguns tiveram muitas dificuldades, mas não a maioria","Não, apesar de ter tido dificuldades, elas ainda estariam presentes em outro trabalho",,,"Sim, acho que a grande maioria dos problemas que eu e meus colegas encontraram foram relacionados à instalação",Linux,Acho que vou usar a biblioteca para fazer projetos pessoais,Preocupado(a),Sim
15/12/2022 15:16:58,"Sim, e estou satisfeito com o resultado","Positivo, o desenvolvimento de um jogo me deixou mais animado(a) e me fez aprender mais",Concordo,Concordo,Neutro/Não se aplica,Neutro/Não se aplica,Neutro/Não se aplica,"Sim, porém eu acho que a complexidade é um ponto positivo","Sim, acho que alguns tiveram muitas dificuldades, mas não a maioria","Não, acho que o desenvolvimento de um jogo me fez aprender mais e me trouxe uma experiência positiva","Acredito que o jogo foi uma boa escolha, pois é um modo dinâmico de aprender e aplicar os conceitos vistos na sala. Além de que foi o projeto com mais código que mexi durante todo o semestre, o que me foçou uma certa organização que eu não me dava conta antes. No fim, acho que o jogo foi uma boa escolha juntamente com a biblioteca modificada pelo Brenno.",,"Sim, acho que a grande maioria dos problemas que eu e meus colegas encontraram foram relacionados à instalação",Windows,"Acho que vou usar a biblioteca para fazer projetos pessoais, Acho que vou usar a biblioteca para desenvolver trabalhos em outras disciplinas",Animado(a),Sim
15/12/2022 15:25:42,"Sim, e estou satisfeito com o resultado","Positivo, o desenvolvimento de um jogo me deixou mais animado(a) e me fez aprender mais",Neutro/Não se aplica,Concordo,Concordo,Concordo,Concordo,"Sim, porém eu acho que a complexidade é um ponto positivo","Sim, acho que alguns tiveram muitas dificuldades, mas não a maioria","Não, acho que o desenvolvimento de um jogo me fez aprender mais e me trouxe uma experiência positiva",,,Não tive problemas de instalação,Windows,Acho que vou usar a biblioteca para desenvolver trabalhos em outras disciplinas,Animado(a),Não
15/12/2022 17:10:14,"Sim, mas não estou contente com o resultado","Negativo, os problemas técnicos e/ou a complexidade do trabalho me deixou mais frustrado(a) do que animado(a)",Não concordo,Não concordo,Neutro/Não se aplica,Neutro/Não se aplica,Neutro/Não se aplica,"Não, acredito que a complexidade veio de programar em geral e não está diretamente relacionada com o desenvolvimento de um jogo","Sim, acho que a maioria teve muitas dificuldades no desenvolvimento","Sim, porque a complexidade do jogo piorou o trabalho",,,Não tive problemas de instalação,Linux,Não pretendo mais usar a biblioteca,Preocupado(a),Não
15/12/2022 18:22:08,"Sim, e estou satisfeito com o resultado","Positivo, o desenvolvimento de um jogo me deixou mais animado(a) e me fez aprender mais",Não concordo,Neutro/Não se aplica,Concordo,Neutro/Não se aplica,Neutro/Não se aplica,"Sim, porém eu acho que a complexidade é um ponto positivo","Sim, acho que a maioria teve muitas dificuldades no desenvolvimento","Não, apesar de ter tido dificuldades, elas ainda estariam presentes em outro trabalho","Achei muito boa a ideia de fazer o jogo. Além de ser cativante e trazer conceitos que nós estamos mais familiarizados, é uma boa forma de os estudantes botarem a mão na massa e lutarem com uma base de códigos maior.","C é uma linguagem fácil fácil de corromper a memória e gerar horas tentando entender um bug no código. Além disso C tem APIs muito inseguras e com vários edge cases, o que a torna péssima para iniciantes. Outras linguagems como JavaScript ou Python são mais interessantes para ensinar iniciantes, sendo Rust uma alternativa que ainda possui gerenciamento de memória manual, caso desejado.",Não tive problemas de instalação,Linux,Não pretendo mais usar a biblioteca,Animado(a),Sim
15/12/2022 18:30:34,"Não, porque não consegui implementar tudo que foi pedido","Negativo, os problemas técnicos e/ou a complexidade do trabalho me deixou mais frustrado(a) do que animado(a)",Concordo,Neutro/Não se aplica,Concordo,Neutro/Não se aplica,Neutro/Não se aplica,"Não, acredito que a complexidade veio de programar em geral e não está diretamente relacionada com o desenvolvimento de um jogo","Sim, acho que a maioria teve muitas dificuldades no desenvolvimento","Sim, porque a complexidade do jogo piorou o trabalho","Acho a ideia do jogo muito legal, porém o nível de complexidade foi alto, o que levou o desenvolvimento do trabalho ficar bastante difícil e cansativo",,"Não, acho que os problemas vão além de instalar a biblioteca",Windows,Acho que vou usar a biblioteca para fazer projetos pessoais,Animado(a),Sim
15/12/2022 23:16:41,"Sim, e estou satisfeito com o resultado","Positivo, o desenvolvimento de um jogo me deixou mais animado(a) e me fez aprender mais",Não concordo,Concordo,Neutro/Não se aplica,Concordo,Neutro/Não se aplica,"Sim, porém eu acho que a complexidade é um ponto positivo","Sim, acho que alguns tiveram muitas dificuldades, mas não a maioria","Não, acho que o desenvolvimento de um jogo me fez aprender mais e me trouxe uma experiência positiva",,Talvez dar 3 opções de jogos pra cada um poder escolher o que se sentir mais confortável. ,Não tive problemas de instalação,Linux,"Acho que vou usar a biblioteca para fazer projetos pessoais, Acho que vou usar a biblioteca para desenvolver trabalhos em outras disciplinas",Animado(a),Sim
16/12/2022 00:33:28,"Não, porque não consegui implementar tudo que foi pedido","Positivo, o desenvolvimento de um jogo me deixou mais animado(a) e me fez aprender mais",Concordo,Concordo,Concordo,Concordo,Concordo,"Não, acredito que a complexidade veio de programar em geral e não está diretamente relacionada com o desenvolvimento de um jogo","Sim, acho que a maioria teve muitas dificuldades no desenvolvimento","Não, apesar de ter tido dificuldades, elas ainda estariam presentes em outro trabalho","Ate gostei de fazer, fiquei um pouco chateado de não conseguir realizar tudo, mas ainda sim, eu gostei",Começar a fazer o quanto antes,"Sim, acho que a grande maioria dos problemas que eu e meus colegas encontraram foram relacionados à instalação",Windows,Acho que vou usar a biblioteca para fazer projetos pessoais,Animado(a),Sim
16/12/2022 13:22:29,"Não, porque não consegui implementar tudo que foi pedido","Negativo, os problemas técnicos e/ou a complexidade do trabalho me deixou mais frustrado(a) do que animado(a)",Concordo,Neutro/Não se aplica,Concordo,Neutro/Não se aplica,Concordo,"Não, acredito que a complexidade veio de programar em geral e não está diretamente relacionada com o desenvolvimento de um jogo","Sim, acho que a maioria teve muitas dificuldades no desenvolvimento","Sim, porque a complexidade do jogo piorou o trabalho",,,"Sim, acho que a grande maioria dos problemas que eu e meus colegas encontraram foram relacionados à instalação",Windows,Acho que vou usar a biblioteca para fazer projetos pessoais,Preocupado(a),Não
16/12/2022 16:48:14,"Sim, e estou satisfeito com o resultado","Positivo, o desenvolvimento de um jogo me deixou mais animado(a) e me fez aprender mais",Não concordo,Concordo,Neutro/Não se aplica,Neutro/Não se aplica,Neutro/Não se aplica,"Sim, porém eu acho que a complexidade é um ponto positivo","Sim, acho que alguns tiveram muitas dificuldades, mas não a maioria","Não, acho que o desenvolvimento de um jogo me fez aprender mais e me trouxe uma experiência positiva",,"Explicar coisas que foram usadas no trabalho antes, pra ter tempo de fazer, como os arquivos que foram explicados nos ultimos dias de aula, assim deixando um prazo muito apertado",Não tive problemas de instalação,Linux,Acho que vou usar a biblioteca para fazer projetos pessoais,Animado(a),Sim
17/12/2022 10:42:39,"Sim, mas não estou contente com o resultado","Positivo, o desenvolvimento de um jogo me deixou mais animado(a) e me fez aprender mais",Concordo,Concordo,Concordo,Neutro/Não se aplica,Neutro/Não se aplica,"Sim, porém eu acho que a complexidade é um ponto positivo","Sim, acho que alguns tiveram muitas dificuldades, mas não a maioria","Não, acho que o desenvolvimento de um jogo me fez aprender mais e me trouxe uma experiência positiva",,Quem sabe dar outras opções de jogos,"Sim, acho que a grande maioria dos problemas que eu e meus colegas encontraram foram relacionados à instalação",Windows,Acho que vou usar a biblioteca para fazer projetos pessoais,Animado(a),Sim
17/12/2022 11:33:08,"Sim, e estou satisfeito com o resultado","Negativo, os problemas técnicos e/ou a complexidade do trabalho me deixou mais frustrado(a) do que animado(a)",Não concordo,Não concordo,Concordo,Concordo,Concordo,"Não, acredito que a complexidade veio de programar em geral e não está diretamente relacionada com o desenvolvimento de um jogo","Sim, acho que a maioria teve muitas dificuldades no desenvolvimento","Não, apesar de ter tido dificuldades, elas ainda estariam presentes em outro trabalho","A ideia de utilizar a linguagem C99 para programar jogos é muito interessante, pois creio que a maioria dos alunos não aprovam tanto a linguagem C99 por ser muito ultrapassada e complicada de se manusear, porém com a ideia de construir um jogo a programação para realizá-lo torna-se mais agradável, já que os alunos conseguem se empenhar melhor para produzir algo que vá realmente entretê-los, digo isso pois acredito que a programação em C99 é muito desinteressante e cansativa, mas com a introdução do jogo ela se torna menos desagradável. Por fim, minha crítica construtiva é de que esse trabalho deveria ser feito em duplas, e além disso, ter uma melhor supervisão feita pelos professores, pois vi que nesse ano pelo fato do trabalho ter sido individual, muitas pessoas tiveram dificuldades para realizá-lo e procuram ajuda dos monitores, os quais ajudaram bastante, porém muitas vezes dando a resposta ao aluno sem ao menos exigir um esforço do mesmo, por isso, deixo aqui mais um conselho, talvez acho mais viável dedicar uma parte do laboratório ( já que muitos vão embora mais cedo antes mesmo da metade da aula) para a produção do jogo desde o anúncio que o mesmo deverá ser feito como parte da nota de AEDS 1, digo isso porque percebi que muitas pessoas deixaram para fazer o trabalho uma semana antes de sua entrega, acredito que dessa forma a produção do jogo seria mais interessante e por ser feita em dupla o auxilio dos monitores deveria ser quase mínimo, já que assim os alunos teriam mais tempo para pensar juntos e quebrarem a cabeça para realizar o jogo por conta própria, creio que assim a satisfação de terminar o jogo e entregá-lo com todas as suas funcionalidades corretas seria muito maior, e também, os alunos não seriam ""carregados"" pelos monitores ou por veteranos.",,Não tive problemas de instalação,Windows,"Acho que vou usar a biblioteca para fazer projetos pessoais, Acho que vou usar a biblioteca para desenvolver trabalhos em outras disciplinas",Preocupado(a),Sim
17/12/2022 13:42:53,"Sim, e estou satisfeito com o resultado","Positivo, o desenvolvimento de um jogo me deixou mais animado(a) e me fez aprender mais",Não concordo,Neutro/Não se aplica,Neutro/Não se aplica,Neutro/Não se aplica,Concordo,"Não, acredito que a complexidade veio de programar em geral e não está diretamente relacionada com o desenvolvimento de um jogo","Sim, acho que a maioria teve muitas dificuldades no desenvolvimento","Não, acho que o desenvolvimento de um jogo me fez aprender mais e me trouxe uma experiência positiva",,,Não tive problemas de instalação,Linux,"Acho que vou usar a biblioteca para fazer projetos pessoais, Acho que vou usar a biblioteca para desenvolver trabalhos em outras disciplinas",Animado(a),Sim
17/12/2022 13:58:43,"Não, porque não consegui implementar tudo que foi pedido","Negativo, os problemas técnicos e/ou a complexidade do trabalho me deixou mais frustrado(a) do que animado(a)",Não concordo,Concordo,Concordo,Concordo,Concordo,"Sim, e por isso eu me frustrei durante o desenvolvimento","Sim, acho que a maioria teve muitas dificuldades no desenvolvimento","Sim, porque eu gostaria de obter uma nota maior",,,"Sim, acho que a grande maioria dos problemas que eu e meus colegas encontraram foram relacionados à instalação",Linux,Não pretendo mais usar a biblioteca,Animado(a),Sim
18/12/2022 11:31:04,"Sim, e estou satisfeito com o resultado","Positivo, o desenvolvimento de um jogo me deixou mais animado(a) e me fez aprender mais",Concordo,Concordo,Concordo,Concordo,Neutro/Não se aplica,"Sim, porém eu acho que a complexidade é um ponto positivo","Sim, acho que a maioria teve muitas dificuldades no desenvolvimento","Não, acho que o desenvolvimento de um jogo me fez aprender mais e me trouxe uma experiência positiva",,,"Sim, acho que a grande maioria dos problemas que eu e meus colegas encontraram foram relacionados à instalação",Windows,Não pretendo mais usar a biblioteca,Animado(a),Sim
18/12/2022 12:21:24,"Sim, e estou satisfeito com o resultado","Positivo, o desenvolvimento de um jogo me deixou mais animado(a) e me fez aprender mais",Neutro/Não se aplica,Não concordo,Neutro/Não se aplica,Concordo,Não concordo,"Não, acredito que a complexidade veio de programar em geral e não está diretamente relacionada com o desenvolvimento de um jogo","Sim, acho que a maioria teve muitas dificuldades no desenvolvimento","Sim, porque eu gostaria de obter uma nota maior",,,"Não, acho que os problemas vão além de instalar a biblioteca",Windows,"Acho que vou usar a biblioteca para fazer projetos pessoais, Acho que vou usar a biblioteca para desenvolver trabalhos em outras disciplinas",Preocupado(a),Sim
19/12/2022 00:35:17,"Sim, mas não estou contente com o resultado","Positivo, o desenvolvimento de um jogo me deixou mais animado(a) e me fez aprender mais",Concordo,Neutro/Não se aplica,Concordo,Concordo,Concordo,"Sim, e por isso eu me frustrei durante o desenvolvimento","Sim, acho que a maioria teve muitas dificuldades no desenvolvimento","Sim, porque a complexidade do jogo piorou o trabalho",,,"Sim, acho que a grande maioria dos problemas que eu e meus colegas encontraram foram relacionados à instalação",Linux,Acho que vou usar a biblioteca para desenvolver trabalhos em outras disciplinas,Preocupado(a),Sim